Seat Number,Roll No 1st Student,Roll No 2nd Student101_1,4A01,4B01
101_2,4A02,4B02
101_3,4A03,4B03
101_4,4A04,4B04
101_5,4A05,4B05
101_6,4A06,4B06
101_7,4A07,4B07
101_8,4A08,4B08
101_9,4A09,4B09
101_10,4A10,4B10
101_11,4A11,4B11
101_12,4A12,4B12
101_13,4A13,4B13
101_14,4A14,4B14
101_15,4A15,4B15
101_16,4A16,4B16
101_17,4A21,4B21
101_18,4A22,4B22
101_19,4A23,4B23
101_20,4A24,4B24
101_21,4A25,4B25
101_22,4A26,4B26
101_23,4A27,4B27
101_24,4A28,4B28
101_25,4A29,4B29
102_1,4A30,4B30
102_2,4A31,4B31
102_3,4A32,4B32
102_4,4A33,4B33
102_5,4A34,4B34
102_6,4A35,4B35
102_7,4A36,4B36
102_8,4A37,4B37
102_9,4A38,4B38
102_10,4A39,4B39
102_11,4A40,4B40
102_12, NA ,4B41
102_13, NA ,4B42
102_14, NA ,4B43
102_15, NA ,4B44
102_16, NA ,4B45
102_17, NA ,4B46
102_18, NA ,5B01
102_19, NA ,5B02
102_20, NA ,5B03
103_1, NA ,5B04
103_2, NA ,5B05
103_3, NA ,5B06
103_4, NA ,5B07
103_5, NA ,5B08
103_6, NA ,5B09
103_7, NA ,5B10
103_8, NA ,5B11
103_9, NA ,5B12
103_10, NA ,5B13
103_11, NA ,5B14
103_12, NA ,5B15
103_13, NA ,5B16
103_14, NA ,5B21
103_15, NA ,5B22
103_16, NA ,5B23
103_17, NA ,5B24
103_18, NA ,5B25
103_19, NA ,5B26
103_20, NA ,5B27
103_21, NA ,5B28
103_22, NA ,5B29
103_23, NA ,5B30
103_24, NA ,5B31
104_1, NA ,5B32
104_2, NA ,5B33
104_3, NA ,5B34
104_4, NA ,5B35
104_5, NA ,5B36
104_6, NA ,5B37
104_7, NA ,5B38
104_8, NA ,5B39
104_9, NA ,5B40
104_10, NA ,5B41
104_11, NA ,5B42
104_12, NA ,5B43
104_13, NA ,5B44
104_14, NA ,5B45
104_15, NA ,5B46
104_16, NA ,5B47
104_17, NA ,5B48
104_18, NA ,5B49
104_19, NA ,5B50
104_20, NA ,5B51
104_21, NA ,5B52
